2, 22, -20, 684, 332, 50, 105, 1.0
2, 33, 363, 306, 117, 50, 105, 1.0
2, 88, -361, 407, 92, 50, 105, 1.0
3, 22, 4, 409, 114, 106, 154, 1.0
3, 33, 363, 306, 117, 106, 154, 1.0
3, 88, -360, 407, 92, 106, 154, 1.0
1, 22, 17, 401, 47, 155, 197, 1.0
1, 33, 361, 304, 110, 155, 197, 1.0
1, 88, -366, 414, 73, 155, 197, 1.0
2, 22, 12, 402, 48, 198, 256, 1.0
2, 33, 363, 306, 116, 198, 256, 1.0
2, 88, -350, 422, 106, 198, 256, 1.0
10, 22, 13, 402, 47, 257, 400, 1.0
10, 33, 363, 306, 116, 257, 400, 1.0
10, 88, -165, 432, 179, 257, 400, 1.0
2, 22, 13, 404, 49, 401, 455, 1.0
2, 33, 363, 307, 116, 401, 455, 1.0
2, 88, -169, 415, 186, 401, 455, 1.0
3, 22, 13, 403, 48, 456, 499, 1.0
3, 33, 363, 306, 116, 456, 499, 1.0
3, 88, -349, 431, 139, 456, 499, 1.0
1, 22, 13, 401, 47, 500, 528, 1.0
1, 33, 363, 306, 116, 500, 528, 1.0
1, 88, -362, 422, 95, 500, 528, 1.0
2, 22, 13, 401, 47, 529, 574, 1.0
2, 33, 368, 307, 126, 529, 574, 1.0
2, 88, -363, 422, 89, 529, 574, 1.0
10, 22, 14, 401, 47, 575, 696, 1.0
10, 33, 226, 430, 188, 575, 696, 1.0
10, 88, -363, 422, 88, 575, 696, 1.0
2, 22, 15, 402, 48, 697, 728, 1.0
2, 33, 189, 415, 225, 697, 728, 1.0
2, 88, -362, 422, 90, 697, 728, 1.0
3, 22, 13, 403, 49, 729, 780, 1.0
3, 33, 327, 370, 139, 729, 780, 1.0
3, 88, -362, 422, 91, 729, 780, 1.0
2, 22, -7, 566, 340, 820, 873, 1.0
2, 33, 360, 331, 114, 820, 873, 1.0
2, 88, -327, 348, 92, 820, 873, 1.0
3, 22, 28, 348, 104, 874, 932, 1.0
3, 33, 359, 331, 113, 874, 932, 1.0
3, 88, -327, 348, 93, 874, 932, 1.0
1, 22, 22, 364, 32, 933, 985, 1.0
1, 33, 359, 331, 112, 933, 985, 1.0
1, 88, -327, 347, 92, 933, 985, 1.0
2, 22, 21, 293, 27, 986, 1100, 1.0
2, 33, 359, 331, 113, 986, 1100, 1.0
2, 88, -327, 350, 95, 986, 1100, 1.0
10, 22, 21, 293, 27, 1101, 1225, 1.0
10, 33, 359, 331, 113, 1101, 1225, 1.0
10, 88, -145, 400, 145, 1101, 1225, 1.0
2, 22, 21, 293, 27, 1226, 1255, 1.0
2, 33, 359, 331, 112, 1226, 1255, 1.0
2, 88, -110, 415, 125, 1226, 1255, 1.0
3, 22, 19, 295, 28, 1256, 1288, 1.0
3, 33, 359, 331, 112, 1256, 1288, 1.0
3, 88, -332, 360, 110, 1256, 1288, 1.0
